Instance,Config,Decoder,Seed,Cost,Feasible,NumNodes,NumEdges,WarmStart,InitialCost,TotalIterations,LastUpdateIteration,TotalTime,LastUpdateTime,LargestIterationOffset,StalledIterations,PRTime,PRCalls,PRNumHomogenities,PRNumImprovBest,PRNumImprovElite,NumExchanges,NumShakes,NumResets
add20,config_torres.conf,threshold,13,1979,yes,2395,7462,0,0,100,100,2.06,2.06,2,0,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,threshold,14,2102,yes,2395,7462,0,0,100,100,2.00,2.00,2,0,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,threshold,15,2066,yes,2395,7462,0,0,100,100,2.03,2.03,2,0,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,threshold,16,1972,yes,2395,7462,0,0,100,100,2.13,2.13,3,0,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,threshold,17,1969,yes,2395,7462,0,0,100,100,2.14,2.14,3,0,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,threshold,18,2051,yes,2395,7462,0,0,100,99,2.02,2.01,2,1,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,threshold,19,2025,yes,2395,7462,0,0,100,100,2.06,2.06,2,0,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,permutation,0,1648,yes,2395,7462,0,0,100,89,3.69,3.30,12,11,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,permutation,1,1622,yes,2395,7462,0,0,100,100,3.76,3.76,20,0,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,permutation,2,1621,yes,2395,7462,0,0,100,96,3.75,3.60,12,4,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,permutation,3,1627,yes,2395,7462,0,0,100,94,3.73,3.51,12,6,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,permutation,4,1641,yes,2395,7462,0,0,100,93,3.68,3.42,12,7,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,permutation,5,1619,yes,2395,7462,0,0,100,85,3.67,3.12,14,15,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,permutation,6,1625,yes,2395,7462,0,0,100,90,3.70,3.34,11,10,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,permutation,7,1641,yes,2395,7462,0,0,100,100,3.68,3.68,12,0,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,permutation,8,1638,yes,2395,7462,0,0,100,87,3.65,3.17,9,13,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,permutation,9,1662,yes,2395,7462,0,0,100,99,3.65,3.62,17,1,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,permutation,10,1618,yes,2395,7462,0,0,100,100,3.67,3.67,18,0,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,permutation,11,1622,yes,2395,7462,0,0,100,96,3.65,3.51,11,4,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,permutation,12,1637,yes,2395,7462,0,0,100,96,3.62,3.48,5,4,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,permutation,13,1631,yes,2395,7462,0,0,100,97,3.68,3.57,8,3,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,permutation,14,1616,yes,2395,7462,0,0,100,88,3.65,3.22,11,12,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,permutation,15,1648,yes,2395,7462,0,0,100,91,3.63,3.31,8,9,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,permutation,16,1637,yes,2395,7462,0,0,100,91,3.67,3.35,7,9,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,permutation,17,1610,yes,2395,7462,0,0,100,85,3.68,3.14,11,15,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,permutation,18,1621,yes,2395,7462,0,0,100,85,3.66,3.11,6,15,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,permutation,19,1658,yes,2395,7462,0,0,100,98,3.69,3.61,13,2,0.00,0,0,0,0,0,0,0
add20,config_full.conf,threshold,0,1667,yes,2395,7462,0,0,300,299,14.62,14.58,3,1,0.00,0,0,0,0,0,0,0
add20,config_full.conf,threshold,1,1704,yes,2395,7462,0,0,300,298,14.64,14.55,4,2,0.00,0,0,0,0,0,0,0
add20,config_full.conf,threshold,2,1707,yes,2395,7462,0,0,300,300,15.21,15.21,3,0,0.00,0,0,0,0,0,0,0
add20,config_full.conf,threshold,3,1719,yes,2395,7462,0,0,300,300,15.06,15.06,4,0,0.00,0,0,0,0,0,0,0
